suite,impl,parallelism,grid_size,repetition,wall_time_ms
compiler,serial_opt,0,500,1,0.569
compiler,serial_opt,0,1000,1,1.153
compiler,serial_opt,0,2000,1,2.948
compiler,serial_opt,0,4000,1,5.763
compiler,serial_opt,0,8000,1,0.002
compiler,serial_opt,0,500,2,0.565
compiler,serial_opt,0,1000,2,1.648
compiler,serial_opt,0,2000,2,2.951
compiler,serial_opt,0,4000,2,5.784
compiler,serial_opt,0,8000,2,0.002
compiler,serial_opt,0,500,3,0.566
compiler,serial_opt,0,1000,3,1.520
compiler,serial_opt,0,2000,3,2.936
compiler,serial_opt,0,4000,3,5.753
compiler,serial_opt,0,8000,3,0.002
compiler,serial_opt,0,500,4,0.568
compiler,serial_opt,0,1000,4,1.124
compiler,serial_opt,0,2000,4,3.031
compiler,serial_opt,0,4000,4,5.758
compiler,serial_opt,0,8000,4,0.002
compiler,serial_opt,0,500,5,1.060
compiler,serial_opt,0,1000,5,1.132
compiler,serial_opt,0,2000,5,2.938
compiler,serial_opt,0,4000,5,5.766
compiler,serial_opt,0,8000,5,0.002
compiler,serial_opt,0,6000,1,8.550
compiler,serial_opt,0,6000,2,8.535
compiler,serial_opt,0,6000,3,8.551
compiler,serial_opt,0,6000,4,8.534
compiler,serial_opt,0,6000,5,8.528
compiler,serial_opt,0,500,6,0.570
compiler,serial_opt,0,1000,6,1.630
compiler,serial_opt,0,2000,6,2.931
compiler,serial_opt,0,4000,6,5.775
compiler,serial_opt,0,6000,6,8.562
compiler,serial_opt,0,8000,6,0.002
compiler,serial_opt,0,500,7,0.574
compiler,serial_opt,0,1000,7,1.133
compiler,serial_opt,0,2000,7,3.109
compiler,serial_opt,0,4000,7,5.738
compiler,serial_opt,0,6000,7,8.551
compiler,serial_opt,0,8000,7,0.002
compiler,serial_opt,0,500,8,0.558
compiler,serial_opt,0,1000,8,1.614
compiler,serial_opt,0,2000,8,2.938
compiler,serial_opt,0,4000,8,5.764
compiler,serial_opt,0,6000,8,8.540
compiler,serial_opt,0,8000,8,0.002
compiler,serial_opt,0,500,9,0.563
compiler,serial_opt,0,1000,9,1.444
compiler,serial_opt,0,2000,9,3.064
compiler,serial_opt,0,4000,9,5.778
compiler,serial_opt,0,6000,9,8.534
compiler,serial_opt,0,8000,9,0.002
compiler,serial_opt,0,500,10,0.573
compiler,serial_opt,0,1000,10,1.287
compiler,serial_opt,0,2000,10,3.002
compiler,serial_opt,0,4000,10,5.755
compiler,serial_opt,0,6000,10,8.532
compiler,serial_opt,0,8000,10,0.002
