suite,impl,parallelism,grid_size,repetition,wall_time_ms
parallel,,,500,1,0.000
parallel,,,1000,1,0.000
parallel,,,2000,1,0.000
parallel,,,4000,1,0.000
parallel,,,8000,1,0.000
parallel,,,500,2,0.000
parallel,,,1000,2,0.000
parallel,,,2000,2,0.000
parallel,,,4000,2,0.000
parallel,,,8000,2,0.000
parallel,,,500,3,0.000
parallel,,,1000,3,0.000
parallel,,,2000,3,0.000
parallel,,,4000,3,0.000
parallel,,,8000,3,0.000
parallel,,,500,4,0.000
parallel,,,1000,4,0.000
parallel,,,2000,4,0.000
parallel,,,4000,4,0.000
parallel,,,8000,4,0.000
parallel,,,500,5,0.000
parallel,,,1000,5,0.000
parallel,,,2000,5,0.000
parallel,,,4000,5,0.000
parallel,,,8000,5,0.000
parallel,threads,2,500,1,25.734
parallel,threads,2,1000,1,30.585
parallel,threads,2,2000,1,40.191
parallel,threads,2,4000,1,56.440
parallel,threads,2,8000,1,0.069
parallel,threads,2,500,2,26.779
parallel,threads,2,1000,2,32.534
parallel,threads,2,2000,2,39.107
parallel,threads,2,4000,2,57.604
parallel,threads,2,8000,2,0.069
parallel,threads,2,500,3,26.230
parallel,threads,2,1000,3,31.681
parallel,threads,2,2000,3,38.930
parallel,threads,2,4000,3,56.499
parallel,threads,2,8000,3,0.070
parallel,threads,2,500,4,25.668
parallel,threads,2,1000,4,31.895
parallel,threads,2,2000,4,42.233
parallel,threads,2,4000,4,57.180
parallel,threads,2,8000,4,0.068
parallel,threads,2,500,5,26.909
parallel,threads,2,1000,5,30.903
parallel,threads,2,2000,5,45.552
parallel,threads,2,4000,5,55.726
parallel,threads,2,8000,5,0.071
parallel,threads,4,500,1,28.796
parallel,threads,4,1000,1,32.450
parallel,threads,4,2000,1,36.582
parallel,threads,4,4000,1,45.313
parallel,threads,4,8000,1,0.091
parallel,threads,4,500,2,30.101
parallel,threads,4,1000,2,32.297
parallel,threads,4,2000,2,36.450
parallel,threads,4,4000,2,45.292
parallel,threads,4,8000,2,0.092
parallel,threads,4,500,3,29.804
parallel,threads,4,1000,3,31.525
parallel,threads,4,2000,3,36.367
parallel,threads,4,4000,3,45.078
parallel,threads,4,8000,3,0.091
parallel,threads,4,500,4,29.883
parallel,threads,4,1000,4,32.583
parallel,threads,4,2000,4,35.902
parallel,threads,4,4000,4,45.459
parallel,threads,4,8000,4,0.089
parallel,threads,4,500,5,29.475
parallel,threads,4,1000,5,31.804
parallel,threads,4,2000,5,36.060
parallel,threads,4,4000,5,45.252
parallel,threads,4,8000,5,0.099
parallel,threads,6,500,1,31.474
parallel,threads,6,1000,1,32.870
parallel,threads,6,2000,1,35.793
parallel,threads,6,4000,1,41.342
parallel,threads,6,8000,1,0.128
parallel,threads,6,500,2,31.554
parallel,threads,6,1000,2,32.714
parallel,threads,6,2000,2,35.656
parallel,threads,6,4000,2,41.290
parallel,threads,6,8000,2,0.123
parallel,threads,6,500,3,31.372
parallel,threads,6,1000,3,32.828
parallel,threads,6,2000,3,35.605
parallel,threads,6,4000,3,41.414
parallel,threads,6,8000,3,0.125
parallel,threads,6,500,4,31.268
parallel,threads,6,1000,4,32.648
parallel,threads,6,2000,4,35.669
parallel,threads,6,4000,4,41.359
parallel,threads,6,8000,4,0.122
parallel,threads,6,500,5,31.432
parallel,threads,6,1000,5,32.764
parallel,threads,6,2000,5,35.575
parallel,threads,6,4000,5,41.553
parallel,threads,6,8000,5,0.127
parallel,threads,8,500,1,62.510
parallel,threads,8,1000,1,65.083
parallel,threads,8,2000,1,70.380
parallel,threads,8,4000,1,78.097
parallel,threads,8,8000,1,0.168
parallel,threads,8,500,2,62.145
parallel,threads,8,1000,2,65.593
parallel,threads,8,2000,2,70.192
parallel,threads,8,4000,2,77.964
parallel,threads,8,8000,2,0.178
parallel,threads,8,500,3,62.134
parallel,threads,8,1000,3,64.221
parallel,threads,8,2000,3,68.844
parallel,threads,8,4000,3,78.110
parallel,threads,8,8000,3,0.158
parallel,threads,8,500,4,62.090
parallel,threads,8,1000,4,66.902
parallel,threads,8,2000,4,71.654
parallel,threads,8,4000,4,78.932
parallel,threads,8,8000,4,0.166
parallel,threads,8,500,5,61.746
parallel,threads,8,1000,5,64.323
parallel,threads,8,2000,5,68.829
parallel,threads,8,4000,5,80.325
parallel,threads,8,8000,5,0.160
parallel,threads,12,500,1,91.145
parallel,threads,12,1000,1,95.548
parallel,threads,12,2000,1,95.833
parallel,threads,12,4000,1,103.781
parallel,threads,12,8000,1,0.232
parallel,threads,12,500,2,90.522
parallel,threads,12,1000,2,91.777
parallel,threads,12,2000,2,95.211
parallel,threads,12,4000,2,104.173
parallel,threads,12,8000,2,0.240
parallel,threads,12,500,3,89.864
parallel,threads,12,1000,3,91.802
parallel,threads,12,2000,3,95.642
parallel,threads,12,4000,3,108.902
parallel,threads,12,8000,3,0.216
parallel,threads,12,500,4,90.138
parallel,threads,12,1000,4,91.469
parallel,threads,12,2000,4,97.885
parallel,threads,12,4000,4,104.101
parallel,threads,12,8000,4,0.226
parallel,threads,12,500,5,90.816
parallel,threads,12,1000,5,91.622
parallel,threads,12,2000,5,95.653
parallel,threads,12,4000,5,103.898
parallel,threads,12,8000,5,0.224
parallel,processes,2,500,1,718.888
parallel,processes,2,1000,1,724.799
parallel,processes,2,2000,1,718.534
parallel,processes,2,4000,1,748.241
parallel,processes,2,8000,1,0.194
parallel,processes,2,500,2,687.789
parallel,processes,2,1000,2,731.342
parallel,processes,2,2000,2,712.814
parallel,processes,2,4000,2,781.870
parallel,processes,2,8000,2,0.194
parallel,processes,2,500,3,714.872
parallel,processes,2,1000,3,730.962
parallel,processes,2,2000,3,713.512
parallel,processes,2,4000,3,751.086
parallel,processes,2,8000,3,0.188
parallel,processes,2,500,4,725.564
parallel,processes,2,1000,4,736.209
parallel,processes,2,2000,4,725.263
parallel,processes,2,4000,4,753.316
parallel,processes,2,8000,4,0.191
parallel,processes,2,500,5,716.177
parallel,processes,2,1000,5,709.564
parallel,processes,2,2000,5,712.077
parallel,processes,2,4000,5,760.984
parallel,processes,2,8000,5,0.191
parallel,processes,4,500,1,1065.621
parallel,processes,4,1000,1,1110.635
parallel,processes,4,2000,1,1082.058
parallel,processes,4,4000,1,1101.443
parallel,processes,4,8000,1,0.272
parallel,processes,4,500,2,1048.720
parallel,processes,4,1000,2,1057.027
parallel,processes,4,2000,2,1078.390
parallel,processes,4,4000,2,1095.607
parallel,processes,4,8000,2,0.251
parallel,processes,4,500,3,1028.744
parallel,processes,4,1000,3,1059.269
parallel,processes,4,2000,3,1081.186
parallel,processes,4,4000,3,1098.372
parallel,processes,4,8000,3,0.252
parallel,processes,4,500,4,1047.969
parallel,processes,4,1000,4,1067.704
parallel,processes,4,2000,4,1084.023
parallel,processes,4,4000,4,1090.431
parallel,processes,4,8000,4,0.248
parallel,processes,4,500,5,1063.330
parallel,processes,4,1000,5,1056.317
parallel,processes,4,2000,5,1042.136
parallel,processes,4,4000,5,1105.813
parallel,processes,4,8000,5,0.248
parallel,processes,6,500,1,1424.114
parallel,processes,6,1000,1,1475.708
parallel,processes,6,2000,1,1447.511
parallel,processes,6,4000,1,1441.653
parallel,processes,6,8000,1,0.316
parallel,processes,6,500,2,1437.976
parallel,processes,6,1000,2,1435.753
parallel,processes,6,2000,2,1496.794
parallel,processes,6,4000,2,1457.031
parallel,processes,6,8000,2,0.317
parallel,processes,6,500,3,1420.603
parallel,processes,6,1000,3,1420.717
parallel,processes,6,2000,3,1416.019
parallel,processes,6,4000,3,1439.373
parallel,processes,6,8000,3,0.323
parallel,processes,6,500,4,1377.134
parallel,processes,6,1000,4,1448.670
parallel,processes,6,2000,4,1422.088
parallel,processes,6,4000,4,1421.001
parallel,processes,6,8000,4,0.317
parallel,processes,6,500,5,1431.138
parallel,processes,6,1000,5,1440.827
parallel,processes,6,2000,5,1416.712
parallel,processes,6,4000,5,1440.930
parallel,processes,6,8000,5,0.321
parallel,processes,8,500,1,1863.470
parallel,processes,8,1000,1,1797.371
parallel,processes,8,2000,1,1823.158
parallel,processes,8,4000,1,1834.360
parallel,processes,8,8000,1,0.374
parallel,processes,8,500,2,1751.339
parallel,processes,8,1000,2,1809.868
parallel,processes,8,2000,2,1807.948
parallel,processes,8,4000,2,1815.223
parallel,processes,8,8000,2,0.387
parallel,processes,8,500,3,1751.518
parallel,processes,8,1000,3,1792.894
parallel,processes,8,2000,3,1768.778
parallel,processes,8,4000,3,1831.034
parallel,processes,8,8000,3,0.370
parallel,processes,8,500,4,1781.853
parallel,processes,8,1000,4,1798.758
parallel,processes,8,2000,4,1818.135
parallel,processes,8,4000,4,1810.183
parallel,processes,8,8000,4,0.454
parallel,processes,8,500,5,1751.641
parallel,processes,8,1000,5,1781.704
parallel,processes,8,2000,5,1806.198
parallel,processes,8,4000,5,1816.252
parallel,processes,8,8000,5,0.375
parallel,processes,12,500,1,2510.498
parallel,processes,12,1000,1,2467.862
parallel,processes,12,2000,1,2504.436
parallel,processes,12,4000,1,2520.915
parallel,processes,12,8000,1,0.532
parallel,processes,12,500,2,2576.547
parallel,processes,12,1000,2,2499.273
parallel,processes,12,2000,2,2554.412
parallel,processes,12,4000,2,2484.307
parallel,processes,12,8000,2,0.535
parallel,processes,12,500,3,2559.828
parallel,processes,12,1000,3,2498.874
parallel,processes,12,2000,3,2505.699
parallel,processes,12,4000,3,2567.144
parallel,processes,12,8000,3,0.540
parallel,processes,12,500,4,2513.249
parallel,processes,12,1000,4,2502.557
parallel,processes,12,2000,4,2549.547
parallel,processes,12,4000,4,2475.330
parallel,processes,12,8000,4,0.520
parallel,processes,12,500,5,2504.062
parallel,processes,12,1000,5,2524.859
parallel,processes,12,2000,5,2517.877
parallel,processes,12,4000,5,2501.045
parallel,processes,12,8000,5,0.508
parallel,,,6000,1,0.000
parallel,,,6000,2,0.000
parallel,,,6000,3,0.000
parallel,,,6000,4,0.000
parallel,,,6000,5,0.000
parallel,,,500,6,0.000
parallel,,,1000,6,0.000
parallel,,,2000,6,0.000
parallel,,,4000,6,0.000
parallel,,,6000,6,0.000
parallel,,,8000,6,0.000
parallel,,,500,7,0.000
parallel,,,1000,7,0.000
parallel,,,2000,7,0.000
parallel,,,4000,7,0.000
parallel,,,6000,7,0.000
parallel,,,8000,7,0.000
parallel,,,500,8,0.000
parallel,,,1000,8,0.000
parallel,,,2000,8,0.000
parallel,,,4000,8,0.000
parallel,,,6000,8,0.000
parallel,,,8000,8,0.000
parallel,,,500,9,0.000
parallel,,,1000,9,0.000
parallel,,,2000,9,0.000
parallel,,,4000,9,0.000
parallel,,,6000,9,0.000
parallel,,,8000,9,0.000
parallel,,,500,10,0.000
parallel,,,1000,10,0.000
parallel,,,2000,10,0.000
parallel,,,4000,10,0.000
parallel,,,6000,10,0.000
parallel,,,8000,10,0.000
parallel,threads,2,6000,1,75.403
parallel,threads,2,6000,2,75.976
parallel,threads,2,6000,3,75.181
parallel,threads,2,6000,4,76.218
parallel,threads,2,6000,5,74.386
parallel,threads,2,500,6,26.465
parallel,threads,2,1000,6,32.423
parallel,threads,2,2000,6,39.861
parallel,threads,2,4000,6,56.393
parallel,threads,2,6000,6,74.670
parallel,threads,2,8000,6,0.079
parallel,threads,2,500,7,26.544
parallel,threads,2,1000,7,31.851
parallel,threads,2,2000,7,40.193
parallel,threads,2,4000,7,56.702
parallel,threads,2,6000,7,75.412
parallel,threads,2,8000,7,0.068
parallel,threads,2,500,8,28.400
parallel,threads,2,1000,8,30.872
parallel,threads,2,2000,8,39.301
parallel,threads,2,4000,8,57.487
parallel,threads,2,6000,8,75.341
parallel,threads,2,8000,8,0.067
parallel,threads,2,500,9,27.966
parallel,threads,2,1000,9,30.439
parallel,threads,2,2000,9,39.810
parallel,threads,2,4000,9,56.588
parallel,threads,2,6000,9,75.531
parallel,threads,2,8000,9,0.068
parallel,threads,2,500,10,27.312
parallel,threads,2,1000,10,30.371
parallel,threads,2,2000,10,41.317
parallel,threads,2,4000,10,57.421
parallel,threads,2,6000,10,74.460
parallel,threads,2,8000,10,0.072
parallel,threads,4,6000,1,52.902
parallel,threads,4,6000,2,53.670
parallel,threads,4,6000,3,53.974
parallel,threads,4,6000,4,53.869
parallel,threads,4,6000,5,53.797
parallel,threads,4,500,6,29.705
parallel,threads,4,1000,6,31.996
parallel,threads,4,2000,6,36.686
parallel,threads,4,4000,6,45.486
parallel,threads,4,6000,6,53.746
parallel,threads,4,8000,6,0.095
parallel,threads,4,500,7,29.427
parallel,threads,4,1000,7,31.814
parallel,threads,4,2000,7,36.214
parallel,threads,4,4000,7,45.002
parallel,threads,4,6000,7,53.385
parallel,threads,4,8000,7,0.089
parallel,threads,4,500,8,29.946
parallel,threads,4,1000,8,32.497
parallel,threads,4,2000,8,36.341
parallel,threads,4,4000,8,45.096
parallel,threads,4,6000,8,53.335
parallel,threads,4,8000,8,0.097
parallel,threads,4,500,9,29.521
parallel,threads,4,1000,9,32.722
parallel,threads,4,2000,9,36.464
parallel,threads,4,4000,9,44.590
parallel,threads,4,6000,9,53.047
parallel,threads,4,8000,9,0.091
parallel,threads,4,500,10,29.274
parallel,threads,4,1000,10,31.725
parallel,threads,4,2000,10,36.756
parallel,threads,4,4000,10,45.432
parallel,threads,4,6000,10,53.598
parallel,threads,4,8000,10,0.089
parallel,threads,6,6000,1,47.479
parallel,threads,6,6000,2,47.362
parallel,threads,6,6000,3,47.270
parallel,threads,6,6000,4,47.296
parallel,threads,6,6000,5,47.235
parallel,threads,6,500,6,31.412
parallel,threads,6,1000,6,32.792
parallel,threads,6,2000,6,35.834
parallel,threads,6,4000,6,41.395
parallel,threads,6,6000,6,47.430
parallel,threads,6,8000,6,0.131
parallel,threads,6,500,7,31.466
parallel,threads,6,1000,7,32.945
parallel,threads,6,2000,7,35.765
parallel,threads,6,4000,7,41.353
parallel,threads,6,6000,7,47.399
parallel,threads,6,8000,7,0.128
parallel,threads,6,500,8,31.483
parallel,threads,6,1000,8,32.772
parallel,threads,6,2000,8,35.545
parallel,threads,6,4000,8,41.314
parallel,threads,6,6000,8,47.356
parallel,threads,6,8000,8,0.139
parallel,threads,6,500,9,31.402
parallel,threads,6,1000,9,32.813
parallel,threads,6,2000,9,35.603
parallel,threads,6,4000,9,41.285
parallel,threads,6,6000,9,47.372
parallel,threads,6,8000,9,0.131
parallel,threads,6,500,10,31.499
parallel,threads,6,1000,10,32.901
parallel,threads,6,2000,10,35.699
parallel,threads,6,4000,10,41.354
parallel,threads,6,6000,10,47.183
parallel,threads,6,8000,10,0.131
parallel,threads,8,6000,1,87.889
parallel,threads,8,6000,2,86.874
parallel,threads,8,6000,3,86.402
parallel,threads,8,6000,4,86.180
parallel,threads,8,6000,5,88.194
parallel,threads,8,500,6,61.989
parallel,threads,8,1000,6,63.728
parallel,threads,8,2000,6,68.170
parallel,threads,8,4000,6,77.046
parallel,threads,8,6000,6,86.504
parallel,threads,8,8000,6,0.173
parallel,threads,8,500,7,61.440
parallel,threads,8,1000,7,63.814
parallel,threads,8,2000,7,68.329
parallel,threads,8,4000,7,76.969
parallel,threads,8,6000,7,88.922
parallel,threads,8,8000,7,0.171
parallel,threads,8,500,8,61.637
parallel,threads,8,1000,8,63.981
parallel,threads,8,2000,8,68.135
parallel,threads,8,4000,8,77.171
parallel,threads,8,6000,8,86.200
parallel,threads,8,8000,8,0.165
parallel,threads,8,500,9,61.371
parallel,threads,8,1000,9,63.926
parallel,threads,8,2000,9,68.254
parallel,threads,8,4000,9,77.613
parallel,threads,8,6000,9,85.905
parallel,threads,8,8000,9,0.168
parallel,threads,8,500,10,61.485
parallel,threads,8,1000,10,63.954
parallel,threads,8,2000,10,67.962
parallel,threads,8,4000,10,77.009
parallel,threads,8,6000,10,85.853
parallel,threads,8,8000,10,0.173
parallel,threads,12,6000,1,111.741
parallel,threads,12,6000,2,111.727
parallel,threads,12,6000,3,111.482
parallel,threads,12,6000,4,113.129
parallel,threads,12,6000,5,114.072
parallel,threads,12,500,6,89.878
parallel,threads,12,1000,6,92.277
parallel,threads,12,2000,6,97.324
parallel,threads,12,4000,6,104.419
parallel,threads,12,6000,6,113.615
parallel,threads,12,8000,6,0.225
parallel,threads,12,500,7,89.905
parallel,threads,12,1000,7,91.720
parallel,threads,12,2000,7,96.374
parallel,threads,12,4000,7,105.236
parallel,threads,12,6000,7,111.538
parallel,threads,12,8000,7,0.237
parallel,threads,12,500,8,89.609
parallel,threads,12,1000,8,91.863
parallel,threads,12,2000,8,95.554
parallel,threads,12,4000,8,104.501
parallel,threads,12,6000,8,113.537
parallel,threads,12,8000,8,0.241
parallel,threads,12,500,9,89.223
parallel,threads,12,1000,9,92.496
parallel,threads,12,2000,9,95.390
parallel,threads,12,4000,9,104.331
parallel,threads,12,6000,9,111.710
parallel,threads,12,8000,9,0.229
parallel,threads,12,500,10,89.639
parallel,threads,12,1000,10,91.254
parallel,threads,12,2000,10,95.712
parallel,threads,12,4000,10,103.671
parallel,threads,12,6000,10,112.135
parallel,threads,12,8000,10,0.245
parallel,processes,2,6000,1,788.040
parallel,processes,2,6000,2,808.911
parallel,processes,2,6000,3,804.108
parallel,processes,2,6000,4,753.423
parallel,processes,2,6000,5,809.624
parallel,processes,2,500,6,698.909
parallel,processes,2,1000,6,696.150
