suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
processes,processes,2,100,1,159.314,30849,2.1374e-05
processes,processes,2,200,1,647.072,122171,5.5016e-06
processes,processes,2,500,1,5061.576,758964,1.0035e-06
processes,processes,2,1000,1,24060.141,3029711,3.5760e-07
processes,processes,2,2000,1,134730.831,12106565,1.9658e-07
processes,processes,2,100,2,151.236,30849,2.1374e-05
processes,processes,2,200,2,643.892,122171,5.5016e-06
processes,processes,2,500,2,4889.828,758964,1.0035e-06
processes,processes,2,1000,2,24161.518,3029711,3.5760e-07
processes,processes,2,2000,2,134779.447,12106565,1.9658e-07
processes,processes,2,100,3,151.554,30849,2.1374e-05
processes,processes,2,200,3,649.976,122171,5.5016e-06
processes,processes,2,500,3,4952.508,758964,1.0035e-06
processes,processes,2,1000,3,24077.896,3029711,3.5760e-07
processes,processes,2,2000,3,134084.360,12106565,1.9658e-07
processes,processes,2,100,4,150.497,30849,2.1374e-05
processes,processes,2,200,4,621.791,122171,5.5016e-06
processes,processes,2,500,4,4846.296,758964,1.0035e-06
processes,processes,2,1000,4,24009.528,3029711,3.5760e-07
processes,processes,2,2000,4,139853.408,12106565,1.9658e-07
processes,processes,2,100,5,153.805,30849,2.1374e-05
processes,processes,2,200,5,620.181,122171,5.5016e-06
processes,processes,2,500,5,4920.931,758964,1.0035e-06
processes,processes,2,1000,5,24299.055,3029711,3.5760e-07
processes,processes,2,2000,5,135015.511,12106565,1.9658e-07
processes,processes,2,100,6,159.260,30849,2.1374e-05
processes,processes,2,200,6,615.440,122171,5.5016e-06
processes,processes,2,500,6,4912.541,758964,1.0035e-06
processes,processes,2,1000,6,24322.951,3029711,3.5760e-07
processes,processes,2,2000,6,135984.363,12106565,1.9658e-07
processes,processes,2,100,7,159.726,30849,2.1374e-05
processes,processes,2,200,7,643.312,122171,5.5016e-06
processes,processes,2,500,7,4927.486,758964,1.0035e-06
processes,processes,2,1000,7,24242.024,3029711,3.5760e-07
processes,processes,2,2000,7,135430.301,12106565,1.9658e-07
processes,processes,2,100,8,150.838,30849,2.1374e-05
processes,processes,2,200,8,657.887,122171,5.5016e-06
processes,processes,2,500,8,4896.349,758964,1.0035e-06
processes,processes,2,1000,8,24162.075,3029711,3.5760e-07
processes,processes,2,2000,8,135367.365,12106565,1.9658e-07
processes,processes,2,100,9,153.953,30849,2.1374e-05
processes,processes,2,200,9,621.855,122171,5.5016e-06
processes,processes,2,500,9,4909.384,758964,1.0035e-06
processes,processes,2,1000,9,24276.520,3029711,3.5760e-07
processes,processes,2,2000,9,135957.822,12106565,1.9658e-07
processes,processes,2,100,10,155.284,30849,2.1374e-05
processes,processes,2,200,10,632.432,122171,5.5016e-06
processes,processes,2,500,10,4906.857,758964,1.0035e-06
processes,processes,2,1000,10,24284.873,3029711,3.5760e-07
processes,processes,2,2000,10,154912.622,12106565,1.9658e-07
processes,processes,4,100,1,290.129,57951,2.1247e-05
processes,processes,4,200,1,839.794,151863,5.4605e-06
processes,processes,4,500,1,22056.950,3393481,8.6318e-07
processes,processes,4,1000,1,30111.016,3683529,2.2290e-07
processes,processes,4,2000,1,137805.737,12127661,1.9634e-07
processes,processes,4,100,2,321.441,64598,2.1242e-05
processes,processes,4,200,2,993.066,178406,5.3832e-06
processes,processes,4,500,2,21799.655,3355641,8.6318e-07
processes,processes,4,1000,2,27029.179,3335526,2.5137e-07
processes,processes,4,2000,2,138231.354,12184151,1.8697e-07
processes,processes,4,100,3,275.659,53360,2.1247e-05
processes,processes,4,200,3,953.205,171391,5.4081e-06
processes,processes,4,500,3,22784.581,3498716,8.6309e-07
processes,processes,4,1000,3,25341.042,3132348,3.1439e-07
processes,processes,4,2000,3,137798.848,12127648,1.9650e-07
processes,processes,4,100,4,283.415,55121,2.1256e-05
processes,processes,4,200,4,987.107,177106,5.3975e-06
