suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
serial,serial_std,0,100,1,13.485,30849,2.1374e-05
serial,serial_std,0,200,1,104.554,122171,5.5016e-06
serial,serial_std,0,500,1,1607.344,758964,1.0035e-06
serial,serial_std,0,1000,1,12853.034,3029711,3.5760e-07
serial,serial_std,0,2000,1,101865.591,12106565,1.9658e-07
serial,serial_std,0,100,2,13.473,30849,2.1374e-05
serial,serial_std,0,200,2,104.353,122171,5.5016e-06
serial,serial_std,0,500,2,1607.068,758964,1.0035e-06
serial,serial_std,0,1000,2,12768.891,3029711,3.5760e-07
serial,serial_std,0,2000,2,101887.225,12106565,1.9658e-07
serial,serial_std,0,100,3,13.480,30849,2.1374e-05
serial,serial_std,0,200,3,108.838,122171,5.5016e-06
serial,serial_std,0,500,3,1606.918,758964,1.0035e-06
serial,serial_std,0,1000,3,12760.332,3029711,3.5760e-07
serial,serial_std,0,2000,3,101883.992,12106565,1.9658e-07
serial,serial_std,0,100,4,13.435,30849,2.1374e-05
serial,serial_std,0,200,4,104.659,122171,5.5016e-06
serial,serial_std,0,500,4,1607.093,758964,1.0035e-06
serial,serial_std,0,1000,4,12756.565,3029711,3.5760e-07
serial,serial_std,0,2000,4,103268.970,12106565,1.9658e-07
serial,serial_std,0,100,5,13.457,30849,2.1374e-05
serial,serial_std,0,200,5,105.043,122171,5.5016e-06
serial,serial_std,0,500,5,1606.484,758964,1.0035e-06
serial,serial_std,0,1000,5,12766.743,3029711,3.5760e-07
serial,serial_std,0,2000,5,101807.259,12106565,1.9658e-07
serial,serial_opt,0,100,1,1.012,30849,2.1374e-05
serial,serial_opt,0,200,1,7.394,122171,5.5016e-06
serial,serial_opt,0,500,1,115.563,758964,1.0035e-06
serial,serial_opt,0,1000,1,921.707,3029711,3.5760e-07
serial,serial_opt,0,2000,1,8757.090,12106565,1.9658e-07
serial,serial_opt,0,100,2,1.085,30849,2.1374e-05
serial,serial_opt,0,200,2,7.217,122171,5.5016e-06
serial,serial_opt,0,500,2,116.986,758964,1.0035e-06
serial,serial_opt,0,1000,2,1148.103,3029711,3.5760e-07
serial,serial_opt,0,2000,2,8768.079,12106565,1.9658e-07
serial,serial_opt,0,100,3,1.101,30849,2.1374e-05
serial,serial_opt,0,200,3,7.265,122171,5.5016e-06
serial,serial_opt,0,500,3,116.326,758964,1.0035e-06
serial,serial_opt,0,1000,3,922.216,3029711,3.5760e-07
serial,serial_opt,0,2000,3,8775.448,12106565,1.9658e-07
serial,serial_opt,0,100,4,1.025,30849,2.1374e-05
serial,serial_opt,0,200,4,7.302,122171,5.5016e-06
serial,serial_opt,0,500,4,116.660,758964,1.0035e-06
serial,serial_opt,0,1000,4,921.968,3029711,3.5760e-07
serial,serial_opt,0,2000,4,8762.380,12106565,1.9658e-07
serial,serial_opt,0,100,5,1.070,30849,2.1374e-05
serial,serial_opt,0,200,5,7.169,122171,5.5016e-06
serial,serial_opt,0,500,5,116.468,758964,1.0035e-06
serial,serial_opt,0,1000,5,1147.471,3029711,3.5760e-07
serial,serial_opt,0,2000,5,9021.799,12106565,1.9658e-07
serial,serial_cache,0,100,1,13.014,30849,2.1374e-05
serial,serial_cache,0,200,1,101.029,122171,5.5016e-06
serial,serial_cache,0,500,1,1624.725,758964,1.0035e-06
serial,serial_cache,0,1000,1,12909.829,3029711,3.5760e-07
serial,serial_cache,0,2000,1,103373.955,12106565,1.9658e-07
serial,serial_cache,0,100,2,12.968,30849,2.1374e-05
serial,serial_cache,0,200,2,100.649,122171,5.5016e-06
serial,serial_cache,0,500,2,1624.481,758964,1.0035e-06
serial,serial_cache,0,1000,2,12993.469,3029711,3.5760e-07
serial,serial_cache,0,2000,2,103053.953,12106565,1.9658e-07
serial,serial_cache,0,100,3,12.994,30849,2.1374e-05
serial,serial_cache,0,200,3,107.701,122171,5.5016e-06
serial,serial_cache,0,500,3,1624.126,758964,1.0035e-06
serial,serial_cache,0,1000,3,12899.790,3029711,3.5760e-07
serial,serial_cache,0,2000,3,103318.213,12106565,1.9658e-07
serial,serial_cache,0,100,4,12.978,30849,2.1374e-05
serial,serial_cache,0,200,4,100.694,122171,5.5016e-06
serial,serial_cache,0,500,4,1624.149,758964,1.0035e-06
serial,serial_cache,0,1000,4,12902.386,3029711,3.5760e-07
serial,serial_cache,0,2000,4,103687.709,12106565,1.9658e-07
serial,serial_cache,0,100,5,12.995,30849,2.1374e-05
serial,serial_cache,0,200,5,100.565,122171,5.5016e-06
serial,serial_cache,0,500,5,1624.341,758964,1.0035e-06
serial,serial_cache,0,1000,5,13088.551,3029711,3.5760e-07
serial,serial_cache,0,2000,5,103016.980,12106565,1.9658e-07
serial,serial_std,0,100,6,13.523,30849,2.1374e-05
serial,serial_std,0,200,6,108.869,122171,5.5016e-06
serial,serial_std,0,500,6,1606.633,758964,1.0035e-06
serial,serial_std,0,1000,6,12860.143,3029711,3.5760e-07
serial,serial_std,0,2000,6,104178.280,12106565,1.9658e-07
serial,serial_std,0,100,7,13.435,30849,2.1374e-05
serial,serial_std,0,200,7,104.370,122171,5.5016e-06
serial,serial_std,0,500,7,1607.711,758964,1.0035e-06
serial,serial_std,0,1000,7,12858.129,3029711,3.5760e-07
