suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
threads,threads,2,100,1,157.822,30849,2.1374e-05
threads,threads,2,200,1,705.245,122171,5.5016e-06
threads,threads,2,500,1,5372.185,758964,1.0035e-06
threads,threads,2,1000,1,27011.860,3029711,3.5760e-07
threads,threads,2,2000,1,153210.044,12106565,1.9658e-07
threads,threads,2,100,2,160.471,30849,2.1374e-05
threads,threads,2,200,2,710.206,122171,5.5016e-06
threads,threads,2,500,2,5447.951,758964,1.0035e-06
threads,threads,2,1000,2,27212.804,3029711,3.5760e-07
threads,threads,2,2000,2,152927.110,12106565,1.9658e-07
threads,threads,2,100,3,157.649,30849,2.1374e-05
threads,threads,2,200,3,703.300,122171,5.5016e-06
threads,threads,2,500,3,5343.549,758964,1.0035e-06
threads,threads,2,1000,3,27063.949,3029711,3.5760e-07
threads,threads,2,2000,3,153908.703,12106565,1.9658e-07
threads,threads,2,100,4,156.590,30849,2.1374e-05
threads,threads,2,200,4,699.754,122171,5.5016e-06
threads,threads,2,500,4,5417.084,758964,1.0035e-06
threads,threads,2,1000,4,27158.230,3029711,3.5760e-07
threads,threads,2,2000,4,153717.194,12106565,1.9658e-07
threads,threads,2,100,5,158.136,30849,2.1374e-05
threads,threads,2,200,5,698.422,122171,5.5016e-06
threads,threads,2,500,5,5347.245,758964,1.0035e-06
threads,threads,2,1000,5,27091.218,3029711,3.5760e-07
threads,threads,2,2000,5,152709.856,12106565,1.9658e-07
threads,threads,4,100,1,176.127,30849,2.1374e-05
threads,threads,4,200,1,730.492,122171,5.5016e-06
threads,threads,4,500,1,5436.843,758964,1.0035e-06
threads,threads,4,1000,1,26982.576,3029711,3.5760e-07
threads,threads,4,2000,1,147931.982,12106565,1.9658e-07
threads,threads,4,100,2,177.852,30849,2.1374e-05
threads,threads,4,200,2,732.197,122171,5.5016e-06
threads,threads,4,500,2,5457.987,758964,1.0035e-06
threads,threads,4,1000,2,27063.888,3029711,3.5760e-07
threads,threads,4,2000,2,147160.055,12106565,1.9658e-07
threads,threads,4,100,3,175.164,30849,2.1374e-05
threads,threads,4,200,3,730.108,122171,5.5016e-06
threads,threads,4,500,3,5486.308,758964,1.0035e-06
threads,threads,4,1000,3,27034.641,3029711,3.5760e-07
threads,threads,4,2000,3,147862.817,12106565,1.9658e-07
threads,threads,4,100,4,176.077,30849,2.1374e-05
threads,threads,4,200,4,729.006,122171,5.5016e-06
threads,threads,4,500,4,5429.368,758964,1.0035e-06
threads,threads,4,1000,4,26953.470,3029711,3.5760e-07
threads,threads,4,2000,4,147398.610,12106565,1.9658e-07
threads,threads,4,100,5,176.904,30849,2.1374e-05
threads,threads,4,200,5,732.678,122171,5.5016e-06
threads,threads,4,500,5,5470.165,758964,1.0035e-06
threads,threads,4,1000,5,26977.122,3029711,3.5760e-07
threads,threads,4,2000,5,147605.403,12106565,1.9658e-07
threads,threads,6,100,1,186.486,30849,2.1374e-05
threads,threads,6,200,1,768.488,122171,5.5016e-06
threads,threads,6,500,1,5657.680,758964,1.0035e-06
threads,threads,6,1000,1,26468.021,3029711,3.5760e-07
threads,threads,6,2000,1,140077.056,12106565,1.9658e-07
threads,threads,6,100,2,185.224,30849,2.1374e-05
threads,threads,6,200,2,765.488,122171,5.5016e-06
threads,threads,6,500,2,5620.728,758964,1.0035e-06
threads,threads,6,1000,2,26540.348,3029711,3.5760e-07
threads,threads,6,2000,2,140503.313,12106565,1.9658e-07
threads,threads,6,100,3,186.842,30849,2.1374e-05
threads,threads,6,200,3,770.199,122171,5.5016e-06
threads,threads,6,500,3,5776.196,758964,1.0035e-06
threads,threads,6,1000,3,26421.040,3029711,3.5760e-07
threads,threads,6,2000,3,142347.985,12106565,1.9658e-07
threads,threads,6,100,4,185.101,30849,2.1374e-05
threads,threads,6,200,4,766.516,122171,5.5016e-06
threads,threads,6,500,4,5630.878,758964,1.0035e-06
threads,threads,6,1000,4,26191.487,3029711,3.5760e-07
threads,threads,6,2000,4,141003.304,12106565,1.9658e-07
threads,threads,6,100,5,186.026,30849,2.1374e-05
threads,threads,6,200,5,769.096,122171,5.5016e-06
threads,threads,6,500,5,5622.571,758964,1.0035e-06
threads,threads,6,1000,5,26757.165,3029711,3.5760e-07
threads,threads,6,2000,5,142963.499,12106565,1.9658e-07
threads,threads,8,100,1,372.701,30849,2.1374e-05
threads,threads,8,200,1,1490.956,122171,5.5016e-06
threads,threads,2,100,6,157.820,30849,2.1374e-05
threads,threads,2,200,6,703.807,122171,5.5016e-06
threads,threads,2,500,6,5340.632,758964,1.0035e-06
threads,threads,2,1000,6,27065.733,3029711,3.5760e-07
threads,threads,2,2000,6,152954.619,12106565,1.9658e-07
threads,threads,2,100,7,155.843,30849,2.1374e-05
threads,threads,2,200,7,706.846,122171,5.5016e-06
threads,threads,2,500,7,5352.716,758964,1.0035e-06
threads,threads,2,1000,7,27092.917,3029711,3.5760e-07
threads,threads,2,2000,7,152498.490,12106565,1.9658e-07
threads,threads,2,100,8,158.289,30849,2.1374e-05
threads,threads,2,200,8,693.350,122171,5.5016e-06
threads,threads,2,500,8,5323.858,758964,1.0035e-06
threads,threads,2,1000,8,27074.253,3029711,3.5760e-07
threads,threads,2,2000,8,153681.982,12106565,1.9658e-07
threads,threads,2,100,9,156.311,30849,2.1374e-05
